employee_id,gender,job_class,job_grade,role_level,role_level_encoded,division,location,tenure_years,performance,salary
CNF0001,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,1,77.1,88000.0
CNF0002,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Vancouver,1,78.8,197300.0
CNF0003,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,0,52.6,110800.0
CNF0004,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Vancouver,5,49.0,123000.0
CNF0005,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,0,59.6,73000.0
CNF0006,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,4,60.7,76900.0
CNF0007,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,10,80.5,80400.0
CNF0008,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,11,61.4,148900.0
CNF0009,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,2,58.0,119300.0
CNF0010,Male,Branch Manager,Grade 5,Manager,3,Retail Banking,Calgary,3,61.4,111700.0
CNF0011,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,0,85.7,72700.0
CNF0012,Female,Vice President — Pension,Grade 7,VP,5,Pension Administration,Calgary,5,70.2,185500.0
CNF0013,Female,Pension Director,Grade 6,Director,4,Pension Administration,Calgary,8,67.5,146900.0
CNF0014,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Toronto,1,68.5,60000.0
CNF0015,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,2,88.1,70800.0
CNF0016,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Calgary,9,59.5,59300.0
CNF0017,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,10,88.4,102200.0
CNF0018,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,1,72.9,94900.0
CNF0019,Female,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,3,67.8,89800.0
CNF0020,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,1,100.0,69000.0
CNF0021,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Vancouver,0,55.2,116600.0
CNF0022,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,12,65.0,82200.0
CNF0023,Female,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,8,52.7,64600.0
CNF0024,Female,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Toronto,7,83.3,88400.0
CNF0025,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,0,93.6,83500.0
CNF0026,Female,Branch Manager,Grade 5,Manager,3,Retail Banking,Calgary,9,93.4,120200.0
CNF0027,Male,Pension Analyst,Grade 3,Analyst,1,Pension Administration,Calgary,2,87.1,69400.0
CNF0028,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,2,67.2,83100.0
CNF0029,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,3,64.9,122100.0
CNF0030,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,0,46.6,55100.0
CNF0031,Female,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,7,98.5,131600.0
CNF0032,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Calgary,4,76.6,87500.0
CNF0033,Male,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,1,63.1,77500.0
CNF0034,Female,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Toronto,1,88.6,194700.0
CNF0035,Male,Vice President — Pension,Grade 7,VP,5,Pension Administration,Toronto,1,56.4,197200.0
CNF0036,Male,Pension Director,Grade 6,Director,4,Pension Administration,Vancouver,0,75.7,142700.0
CNF0037,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Vancouver,4,67.6,94000.0
CNF0038,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,9,78.9,73700.0
CNF0039,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Calgary,0,69.1,97200.0
CNF0040,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Toronto,0,49.7,92100.0
CNF0041,Female,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,71.1,68900.0
CNF0042,Male,Senior Pension Analyst,Grade 4,Senior Analyst,2,Pension Administration,Calgary,8,84.7,103000.0
CNF0043,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Vancouver,1,69.6,70700.0
CNF0044,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Vancouver,2,80.9,161300.0
CNF0045,Male,Banking Analyst,Grade 3,Analyst,1,Retail Banking,Toronto,4,55.4,56600.0
CNF0046,Female,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,1,69.6,106000.0
CNF0047,Male,Senior Wealth Analyst,Grade 4,Senior Analyst,2,Wealth Management,Calgary,0,61.3,89200.0
CNF0048,Male,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,6,80.5,102800.0
CNF0049,Female,Senior Banking Analyst,Grade 4,Senior Analyst,2,Retail Banking,Toronto,4,70.4,86300.0
CNF0050,Female,Wealth Analyst,Grade 3,Analyst,1,Wealth Management,Toronto,4,79.7,69900.0
CNF0051,Male,Vice President — Wealth,Grade 7,VP,5,Wealth Management,Calgary,6,85.2,215000.0
CNF0052,Male,Wealth Manager,Grade 5,Manager,3,Wealth Management,Toronto,5,79.7,130800.0
CNF0053,Male,Vice President — Banking,Grade 7,VP,5,Retail Banking,Toronto,1,73.8,189300.0
CNF0054,Male,Wealth Director,Grade 6,Director,4,Wealth Management,Vancouver,2,56.0,158100.0
CNF0055,Male,Pension Manager,Grade 5,Manager,3,Pension Administration,Toronto,0,70.0,121200.0
CNF0056,Female,Regional Director,Grade 6,Director,4,Retail Banking,Toronto,0,62.5,137500.0
